infrastructure,model,script,batch size,gpus,accuracy,epochs,time,samples_sec
1,lenet,keras_mxnet_lenet,64,0,0.991,12,255.7,235
1,lenet,keras_mxnet_lenet,128,0,0.988,12,263.2,228
1,lenet,keras_mxnet_lenet,256,0,0.987,12,232.4,258
1,lenet,keras_mxnet_lenet,512,0,0.986,12,212.4,283
1,lenet,keras_mxnet_lenet,64,1,0.982,12,5.9,10203
1,lenet,keras_mxnet_lenet,128,1,0.980,12,4.9,12285
1,lenet,keras_mxnet_lenet,256,1,0.956,12,3.9,15435
1,lenet,keras_mxnet_lenet,512,1,0.959,12,3.6,16721
1,lenet,keras_mxnet_lenet,1024,1,0.929,12,3.3,18242
1,lenet,keras_mxnet_lenet,2048,1,0.890,12,3.2,18812
1,lenet,keras_mxnet_lenet,4096,1,0.842,12,3.2,18812
1,lenet,keras_mxnet_lenet,64,4,0.989,12,4.9,12285
1,lenet,keras_mxnet_lenet,128,4,0.986,12,2.6,23153
1,lenet,keras_mxnet_lenet,256,4,0.985,12,1.8,33443
1,lenet,keras_mxnet_lenet,512,4,0.978,12,1.4,42999
1,lenet,keras_mxnet_lenet,1024,4,0.971,12,1.1,54726
1,lenet,keras_mxnet_lenet,2048,4,0.955,12,1.0,60199
1,lenet,keras_mxnet_lenet,4096,4,0.929,12,1.3,46306
1,lenet,keras_mxnet_lenet,64,8,0.990,12,6.9,8724
1,lenet,keras_mxnet_lenet,128,8,0.989,12,3.9,15435
1,lenet,keras_mxnet_lenet,256,8,0.983,12,2.2,27363
1,lenet,keras_mxnet_lenet,512,8,0.985,12,1.2,50165
1,lenet,keras_mxnet_lenet,1024,8,0.978,12,0.85,70822
1,lenet,keras_mxnet_lenet,2048,8,0.969,12,0.83,72528
1,lenet,keras_mxnet_lenet,4096,8,0.949,12,0.67,89849
1,lenet,keras_mxnet_lenet_optimized,64,1,0.990,12,5.9,10185
1,lenet,keras_mxnet_lenet_optimized,128,1,0.989,12,4.9,12285
1,lenet,keras_mxnet_lenet_optimized,256,1,0.983,12,3.9,15435
1,lenet,keras_mxnet_lenet_optimized,512,1,0.977,12,3.6,16721
1,lenet,keras_mxnet_lenet_optimized,1024,1,0.966,12,3.3,18242
1,lenet,keras_mxnet_lenet_optimized,2048,1,0.942,12,3.2,18812
1,lenet,keras_mxnet_lenet_optimized,4096,1,0.918,12,3.1,19419
1,lenet,keras_mxnet_lenet_optimized,64,4,0.990,12,5.1,11803
1,lenet,keras_mxnet_lenet_optimized,128,4,0.990,12,2.6,23153
1,lenet,keras_mxnet_lenet_optimized,256,4,0.990,12,1.8,33443
1,lenet,keras_mxnet_lenet_optimized,512,4,0.987,12,1.4,42999
1,lenet,keras_mxnet_lenet_optimized,1024,4,0.985,12,1.1,54726
1,lenet,keras_mxnet_lenet_optimized,2048,4,0.978,12,1.4,42999
1,lenet,keras_mxnet_lenet_optimized,4096,4,0.965,12,1.5,40132
1,lenet,keras_mxnet_lenet_optimized,64,8,0.991,12,7.2,8360
1,lenet,keras_mxnet_lenet_optimized,128,8,0.990,12,3.8,15841
1,lenet,keras_mxnet_lenet_optimized,256,8,0.988,12,2.2,27363
1,lenet,keras_mxnet_lenet_optimized,512,8,0.981,12,1.2,50165
1,lenet,keras_mxnet_lenet_optimized,1024,8,0.976,12,0.9,66887
1,lenet,keras_mxnet_lenet_optimized,2048,8,0.958,12,0.8,75248
1,lenet,keras_mxnet_lenet_optimized,4096,8,0.934,12,0.7,85998
1,lenet,mxnet_lenet_official_sample,64,1,0.991,12,2.8,21428
1,lenet,mxnet_lenet_official_sample,128,1,0.991,12,2.2,27272
1,lenet,mxnet_lenet_official_sample,256,1,0.990,12,1.8,33333
1,lenet,mxnet_lenet_official_sample,512,1,0.990,12,1.7,35294
1,lenet,mxnet_lenet_official_sample,1024,1,0.989,12,1.6,37500
1,lenet,mxnet_lenet_official_sample,2048,1,0.987,12,1.6,37500
1,lenet,mxnet_lenet_official_sample,4096,1,0.978,12,1.5,40000
1,lenet,mxnet_lenet_official_sample,64,4,0.991,12,2.5,24000
1,lenet,mxnet_lenet_official_sample,128,4,0.991,12,1.2,50000
1,lenet,mxnet_lenet_official_sample,256,4,0.991,12,0.8,75000
1,lenet,mxnet_lenet_official_sample,512,4,0.991,12,0.6,100000
1,lenet,mxnet_lenet_official_sample,1024,4,0.989,12,0.5,120000
1,lenet,mxnet_lenet_official_sample,2048,4,0.986,12,0.4,150000
1,lenet,mxnet_lenet_official_sample,4096,4,0.978,12,0.4,150000
1,lenet,mxnet_lenet_official_sample,64,8,0.992,12,4.5,13333
1,lenet,mxnet_lenet_official_sample,128,8,0.990,12,2.3,26086
1,lenet,mxnet_lenet_official_sample,256,8,0.991,12,1.2,50000
1,lenet,mxnet_lenet_official_sample,512,8,0.990,12,0.6,100000
1,lenet,mxnet_lenet_official_sample,1024,8,0.990,12,0.3,200000
1,lenet,mxnet_lenet_official_sample,2048,8,0.986,12,0.2,300000
1,lenet,mxnet_lenet_official_sample,4096,8,0.978,12,0.2,300000
